movie_id,title,overview,poster_path,rating,genres
1055451,Founders Day,A small town is shaken by a series of ominous killings in the days leading up to a heated mayoral election.,https://image.tmdb.org/t/p/w500//ohzLPC9lHUWseBgB7HRcz0GBkFb.jpg,4.4,"Horror, Thriller, Comedy"
1195585,The Hard Hit,"An Interpol agent hunting the head of a global crime syndicate tracks his target to Las Vegas, but when the criminal organization kills his wife and daughter, he goes above the law to get his revenge.",https://image.tmdb.org/t/p/w500//whkFbOZTamHeugEG95jvQehSzAH.jpg,6.778,"Action, Thriller, Crime"
1010581,My Fault,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",https://image.tmdb.org/t/p/w500//w46Vw536HwNnEzOa7J24YH9DPRS.jpg,7.8,"Romance, Drama"
1195430,Deva,"Dev Ambre, a ruthless cop, loses his memory in an accident just after he has finished solving a murder case and now has to reinvestigate it while keeping his memory loss a secret from everyone except DCP Farhan Khan.",https://image.tmdb.org/t/p/w500//qxtXzAlEPxmjHILU8k8wduvBSdo.jpg,6.1,"Action, Thriller, Mystery, Crime"
986056,Thunderbolts*,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",https://image.tmdb.org/t/p/w500//c16qiyBKjBFKSVgLr0saiT5pKwd.jpg,8.1,"Action, Adventure, Drama"
206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",https://image.tmdb.org/t/p/w500//zj8ongFhtWNsVlfjOGo8pSr7PQg.jpg,6.558,"Action, Adventure, Thriller"
346685,The Girl on the Train,"Rachel Watson, devastated by her recent divorce, spends her daily commute fantasizing about the seemingly perfect couple who live in a house that her train passes every day, until one morning she sees something shocking happen there and becomes entangled in the mystery that unfolds.",https://image.tmdb.org/t/p/w500//AhTO2QWG0tug7yDoh0XoaMhPt3J.jpg,6.441,"Thriller, Mystery, Drama, Crime"
376867,Moonlight,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",https://image.tmdb.org/t/p/w500//rcICfiL9fvwRjoWHxW8QeroLYrJ.jpg,7.4,Drama
1297763,Batman Ninja vs. Yakuza League,"The Batman family has returned to the present to discover that Japan has disappeared, and a giant island - Hinomoto - is now in the sky over Gotham City.  At the top sit the Yakuza, a group of superpowered individuals who reign without honor or humanity and look suspiciously like the Justice League. Now, it’s up to Batman and his allies to save Gotham!",https://image.tmdb.org/t/p/w500//sVVT6GYFErVv0Lcc9NvqCu0iOxO.jpg,6.62,"Animation, Action"
769,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",https://image.tmdb.org/t/p/w500//aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,8.455,"Drama, Crime"
